iter	Passed	Remaining
0	0	90
1	1	95
2	2	95
3	3	91
4	4	93
5	6	94
6	6	92
7	7	89
8	8	87
9	9	85
10	10	88
11	12	89
12	13	87
13	14	86
14	15	85
15	16	84
16	17	83
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	27	73
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	35	65
35	35	63
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	80	25
76	80	24
77	82	23
78	82	22
79	83	20
80	84	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	103	2
98	103	1
99	104	0
